"ClaimID","Remove","ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"13862312","","9780321267962","AuthorsNamesList","Sells, Chris (Author) Weinhardt, Michael (Author)","Quartermelon","null"
"13862313","","9780321267962","AuthorsNamesList","Sells, Chris","Browns Books","null"
"13862314","","9780321267962","AuthorsNamesList","Chris Sells, Michael Weinhardt","paperbackworld.de","null"
"13862315","","9780321267962","AuthorsNamesList","Chris Sells Michael Weinhardt","Bobs Books","null"
"13862316","","9780321267962","AuthorsNamesList","Chris Sells; Michael Weinhardt","Livrenoir","null"
"13862317","","9780321267962","AuthorsNamesList","SELLS, CHRIS","SWOOP","null"
"13862318","","9780321267962","AuthorsNamesList","SELLS, CHRIS WEINHARDT, MIKE","Quartermelon","null"
"13862319","","9780321267962","AuthorsNamesList","Sells, Chris (Author) Weinhardt, Michael (Author)","Stratford Books","null"
"13862320","","9780321267962","AuthorsNamesList","Sells, Chris","TheBookCom","null"
"13862321","","9780321267962","AuthorsNamesList","Chris Sells, Michael Weinhardt","Marando.de Versandbuchhandlung","null"
"13862322","","9780321267962","AuthorsNamesList","Chris Sells, Michael Weinhardt","AHA-BUCH","null"
"13862323","","9780321267962","AuthorsNamesList","Sells, Chris; Weinhardt, Mike","Morgenstundt Buch & Kunst","null"
"13862324","","9780321267962","AuthorsNamesList","Sells, Chris Weinhardt, Michael","Versandantiquariat Robert A. Mueller","null"
"13862325","","9780321267962","AuthorsNamesList","SELLS, CHRIS","Mellon's Books","null"
"13862326","","9780321267962","AuthorsNamesList","Sells, Chris","TheBookCom","null"
"13862327","","9780321267962","AuthorsNamesList","Sells, Chris; Weinhardt, Mike","Chapterhouse Books Online BA","null"
"13862328","","9780321267962","AuthorsNamesList","Sells, Chris","FREE U.S. AIR SHIPPING @ thebookcompany","null"
"13862329","","9780321267962","AuthorsNamesList","Sells Chris, Weinhardt Mike","Bobs Books","null"
"13862330","","9780321267962","AuthorsNamesList","SELLS, CHRIS WEINHARDT, MIKE","Stratford Books","null"
"13862331","","9780321267962","AuthorsNamesList","Sells, Chris","FREE U.S. AIR SHIPPING @ thebookcompany","null"
"13862332","","9780321267962","AuthorsNamesList","Chris Sells, Mike Weinhardt","Blackwell Online","null"
"13862333","","9780321267962","AuthorsNamesList","Sells, Chris, Weinhardt, Michael","A1Books","null"
